,Pclass,Sex,SibSp,Parch,Embarked,Title,Fare_Category,FamilySize,FamilySizeCategory,Age_group,Deck,Ticket_Frequency,Survival_Rate,Survival_Rate_NA,Pclass_1,Pclass_2,Pclass_3,SibSp_0,SibSp_1,SibSp_2,SibSp_3,SibSp_4,SibSp_5,SibSp_8,Parch_0,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6,Parch_9,FamilySize_1,FamilySize_2,FamilySize_3,FamilySize_4,FamilySize_5,FamilySize_6,FamilySize_7,FamilySize_8,FamilySize_11,Ticket_Frequency_1,Ticket_Frequency_2,Ticket_Frequency_3,Ticket_Frequency_4,Ticket_Frequency_5,Ticket_Frequency_6,Ticket_Frequency_7,Ticket_Frequency_8,Ticket_Frequency_11,Survival_Rate_0.0,Survival_Rate_0.1919191919191919,Survival_Rate_0.25,Survival_Rate_0.3838383838383838,Survival_Rate_0.4419191919191919,Survival_Rate_0.5,Survival_Rate_0.6919191919191919,Survival_Rate_0.75,Survival_Rate_1.0,Survival_Rate_NA_0.0,Survival_Rate_NA_0.5,Survival_Rate_NA_1.0
24,3,female,3,1,S,Miss,"(-0.001, 5.464]",5,middle,child,M,5,0.0,1.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
25,3,female,1,5,S,Mrs,"(-0.001, 5.464]",7,middle,middle,M,7,1.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
26,3,male,0,0,C,Mr,"(7.056, 7.25]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
27,1,male,3,2,S,Mr,"(36.3, 128.082]",6,middle,adult,ABC,6,0.5,1.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
28,3,female,0,0,Q,Miss,"(7.75, 7.88]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
29,3,male,0,0,S,Mr,"(7.88, 8.05]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
30,1,male,0,0,C,Royalty,"(25.258, 27.721]",1,Single,middle,M,1,0.3838383838383838,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
31,1,female,1,0,C,Mrs,"(36.3, 128.082]",2,small,adult,ABC,3,1.0,1.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
32,3,female,0,0,Q,Miss,"(7.25, 7.75]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
33,2,male,0,0,S,Mr,"(8.712, 10.5]",1,Single,old,M,1,0.3838383838383838,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
34,1,male,1,0,C,Mr,"(36.3, 128.082]",2,small,adult,M,2,0.3838383838383838,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
35,1,male,1,0,S,Mr,"(25.258, 27.721]",2,small,middle,M,2,0.3838383838383838,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
36,3,male,0,0,C,Mr,"(7.056, 7.25]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
37,3,male,0,0,S,Mr,"(7.88, 8.05]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
38,3,female,2,0,S,Miss,"(8.712, 10.5]",3,small,adult,M,2,0.1919191919191919,0.5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
39,3,female,1,0,C,Miss,"(5.464, 7.056]",2,small,youth,M,2,0.3838383838383838,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
40,3,female,1,0,S,Mrs,"(8.712, 10.5]",2,small,middle,M,1,0.3838383838383838,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
41,2,female,1,0,S,Mrs,"(8.712, 10.5]",2,small,adult,M,2,0.3838383838383838,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
42,3,male,0,0,C,Mr,"(7.88, 8.05]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
43,2,female,1,2,C,Miss,"(8.712, 10.5]",4,middle,child,M,4,1.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
44,3,female,0,0,Q,Miss,"(7.75, 7.88]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
45,3,male,0,0,S,Mr,"(7.88, 8.05]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
46,3,male,1,0,Q,Mr,"(7.25, 7.75]",2,small,adult,M,2,0.0,1.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
47,3,female,0,0,Q,Miss,"(7.25, 7.75]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
48,3,male,2,0,C,Mr,"(7.056, 7.25]",3,small,adult,M,3,0.0,1.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
49,3,female,1,0,S,Mrs,"(8.712, 10.5]",2,small,adult,M,2,0.3838383838383838,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
50,3,male,4,1,S,Master,"(5.464, 7.056]",6,middle,child,M,7,0.1919191919191919,0.5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
51,3,male,0,0,S,Mr,"(7.75, 7.88]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
52,1,female,1,0,C,Mrs,"(25.258, 27.721]",2,small,middle,DE,3,0.3838383838383838,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
53,2,female,1,0,S,Mrs,"(10.5, 13.0]",2,small,adult,M,2,1.0,1.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
54,1,male,0,1,C,Mr,"(27.721, 36.3]",2,small,old,ABC,2,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
55,1,male,0,0,S,Mr,"(27.721, 36.3]",1,Single,adult,ABC,1,0.3838383838383838,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
56,2,female,0,0,S,Miss,"(8.712, 10.5]",1,Single,adult,M,1,0.3838383838383838,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
57,3,male,0,0,C,Mr,"(7.056, 7.25]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
58,2,female,1,2,S,Miss,"(5.464, 7.056]",4,middle,child,M,4,1.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
59,3,male,5,2,S,Master,"(5.464, 7.056]",8,large,child,M,8,0.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
60,3,male,0,0,C,Mr,"(7.056, 7.25]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
61,1,female,0,0,S,Miss,"(36.3, 128.082]",1,Single,middle,ABC,2,0.3838383838383838,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
62,1,male,1,0,S,Mr,"(36.3, 128.082]",2,small,middle,ABC,2,0.3838383838383838,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
63,3,male,3,2,S,Master,"(-0.001, 5.464]",6,middle,child,M,6,0.3838383838383838,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
64,1,male,0,0,C,Mr,"(25.258, 27.721]",1,Single,adult,M,1,0.3838383838383838,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
65,3,male,1,1,C,Master,"(-0.001, 5.464]",3,small,child,M,3,1.0,1.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
66,2,female,0,0,S,Mrs,"(8.712, 10.5]",1,Single,adult,FG,1,0.3838383838383838,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
67,3,male,0,0,S,Mr,"(8.05, 8.712]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
68,3,female,4,2,S,Miss,"(7.88, 8.05]",7,middle,youth,M,1,0.1919191919191919,0.5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
69,3,male,2,0,S,Mr,"(8.05, 8.712]",3,small,adult,M,1,0.1919191919191919,0.5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
70,2,male,0,0,S,Mr,"(8.712, 10.5]",1,Single,middle,M,1,0.3838383838383838,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
71,3,female,5,2,S,Miss,"(5.464, 7.056]",8,large,youth,M,8,0.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
72,2,male,0,0,S,Mr,"(8.712, 10.5]",1,Single,adult,M,7,0.1919191919191919,0.5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
73,3,male,1,0,C,Mr,"(7.056, 7.25]",2,small,adult,M,2,0.0,1.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
74,3,male,0,0,S,Mr,"(7.056, 7.25]",1,Single,middle,M,8,0.6919191919191919,0.5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
75,3,male,0,0,S,Mr,"(7.25, 7.75]",1,Single,adult,FG,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
76,3,male,0,0,S,Mr,"(7.88, 8.05]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
77,3,male,0,0,S,Mr,"(7.88, 8.05]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
78,2,male,0,2,S,Master,"(8.712, 10.5]",3,small,child,M,3,1.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
79,3,female,0,0,S,Miss,"(5.464, 7.056]",1,Single,middle,M,2,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
80,3,male,0,0,S,Mr,"(8.712, 10.5]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
81,3,male,0,0,S,Mr,"(8.712, 10.5]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
82,3,female,0,0,Q,Miss,"(7.75, 7.88]",1,Single,adult,M,1,0.3838383838383838,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
83,1,male,0,0,S,Mr,"(13.0, 25.258]",1,Single,adult,M,2,0.1919191919191919,0.5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
84,2,female,0,0,S,Miss,"(8.712, 10.5]",1,Single,youth,M,1,0.3838383838383838,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
85,3,female,3,0,S,Mrs,"(7.88, 8.05]",4,middle,middle,M,2,0.3838383838383838,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
86,3,male,1,3,S,Mr,"(5.464, 7.056]",5,middle,youth,M,5,0.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
